
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   1  96   0   0   2|   0  2731B| 897k   58k|   0     0 |  18  1463 |0.10 0.10 0.09| 192M 19.6M  129M 1325M
  2   2  94   0   0   3|   0  2048B|1809k  113k|   0     0 |  18  2868 |0.08 0.10 0.09| 192M 19.6M  129M 1325M
  1   2  92   0   0   4|   0  6827B|1890k  118k|   0     0 |  18  2952 |0.07 0.10 0.09| 192M 19.6M  129M 1325M
  2   1  93   1   0   3|   0  2048B|1820k  114k|   0     0 |  18  2810 |0.07 0.10 0.09| 192M 19.6M  129M 1325M
  1   2  93   0   0   4|   0  2048B|1765k  110k|   0     0 |  18  2766 |0.06 0.09 0.09| 192M 19.6M  129M 1325M
  2   2  92   0   0   5|   0  2048B|1781k  112k|   0     0 |  18  2816 |0.06 0.09 0.09| 192M 19.6M  129M 1325M
  2   2  92   0   0   4|   0  2731B|1851k  116k|   0     0 |  18  2916 |0.05 0.09 0.09| 192M 19.6M  129M 1325M
  1   2  93   0   0   4|   0  2048B|1822k  114k|   0     0 |  18  2857 |0.04 0.09 0.09| 192M 19.6M  129M 1325M
  2   2  91   0   0   4|   0  4779B|1914k  120k|   0     0 |  18  2994 |0.04 0.08 0.08| 192M 19.6M  129M 1325M
  1   2  94   0   0   3|   0  2048B|1836k  115k|   0     0 |  18  2898 |0.04 0.08 0.08| 192M 19.6M  129M 1325M
  1   1  96   0   0   2|   0  2048B| 778k   49k|   0     0 |  18  1255 |0.03 0.08 0.08| 192M 19.6M  129M 1325M
  0   0  99   0   0   0|   0  2048B|5221B 2382B|   0     0 |  18    38 |0.03 0.08 0.08| 192M 19.7M  129M 1325M
  1   0  99   0   0   0|   0  4779B|5392B 2553B|   0     0 |  18   112 |0.03 0.08 0.08| 192M 19.7M  129M 1325M
  0   0  99   1   0   0|   0  2048B|1203B  487B|   0     0 |  18    30 |0.02 0.08 0.08| 192M 19.7M  129M 1325M
  1   2  93   1   0   4|   0  3413B| 191k 1422k|   0     0 |  18  2420 |0.02 0.07 0.08| 192M 19.7M  129M 1325M
  1   3  90   0   0   5|   0  2048B| 234k 1739k|   0     0 |  18  2968 |0.02 0.07 0.08| 192M 19.7M  129M 1325M
  1   1  95   0   0   3|   0  2048B| 228k 1689k|   0     0 |  18  2862 |0.02 0.07 0.08| 192M 19.7M  129M 1325M
  1   1  95   0   0   2|   0  2048B| 225k 1680k|   0     0 |  18  2845 |0.01 0.07 0.08| 192M 19.7M  129M 1325M
  1   1  93   2   0   3|   0  2048B| 216k 1604k|   0     0 |  18  2753 |0.01 0.07 0.08| 192M 19.7M  129M 1325M
  1   2  94   1   0   2|   0  2731B| 206k 1527k|   0     0 |  18  2607 |0.01 0.07 0.08| 192M 19.7M  129M 1325M
  1   2  94   1   0   2|   0  2048B| 240k 1786k|   0     0 |  18  3011 |0.01 0.06 0.08| 192M 19.7M  129M 1325M
  1   2  95   0   0   2|   0  2048B| 244k 1823k|   0     0 |  18  3063 |0.01 0.06 0.08| 192M 19.7M  129M 1325M
  1   2  94   0   0   2|   0  2048B| 236k 1751k|   0     0 |  18  2976 |0.01 0.06 0.08| 192M 19.7M  129M 1325M
  1   2  94   0   0   3|   0  2048B| 236k 1756k|   0     0 |  18  2960 |0.01 0.06 0.08| 192M 19.8M  129M 1325M
  1   0  99   0   0   0|   0  2731B|  28k  172k|   0     0 |  18   321 |0.01 0.06 0.08| 192M 19.8M  129M 1325M
 13   3  83   0   0   0|   0  2731B|3035B 1658B|   0     0 |  18   173 |   0 0.06 0.08| 194M 19.8M  130M 1323M

------------------------------------------------------------------------
#client=4 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  2   2  94   2   0   0|  37k  178k|   0     0 |   0     0 |  19  2768 |0.08 0.07 0.08| 191M 19.8M  129M 1325M
  0   0  99   0   0   0|   0  2731B|2405B  974B|   0     0 |  18    37 |0.08 0.07 0.08| 191M 19.8M  129M 1325M
  3   3  93   0   0   1|   0  2731B|4865k  321k|   0     0 |  18  5033 |0.06 0.07 0.08| 192M 19.8M  129M 1325M
  5   5  89   0   0   1|   0  3413B|8257k  545k|   0     0 |  18  8407 |0.06 0.06 0.08| 192M 19.8M  129M 1325M
  4   6  88   0   0   1|   0  2731B|8104k  535k|   0     0 |  18  7836 |0.05 0.06 0.08| 192M 19.8M  129M 1325M
  4   5  90   0   0   1|   0  2048B|8171k  539k|   0     0 |  18  7679 |0.05 0.06 0.08| 192M 19.8M  129M 1325M
  5   6  88   0   0   1|   0  2048B|8116k  536k|   0     0 |  18  7611 |0.13 0.08 0.08| 192M 19.8M  129M 1325M
  3   6  90   0   0   1|   0  2048B|7978k  526k|   0     0 |  18  7484 |0.11 0.07 0.08| 192M 19.8M  129M 1325M
  4   6  88   0   0   1|   0  2731B|7719k  510k|   0     0 |  18  7320 |0.10 0.07 0.08| 192M 19.8M  129M 1325M
  4   6  90   0   0   1|   0  2048B|7610k  502k|   0     0 |  18  6973 |0.09 0.07 0.08| 192M 19.8M  129M 1325M
  4   5  90   0   0   1|   0  2048B|7786k  514k|   0     0 |  18  7584 |0.08 0.07 0.08| 192M 19.9M  129M 1325M
  4   7  88   0   0   1|   0  2048B|8120k  536k|   0     0 |  18  7490 |0.08 0.07 0.08| 192M 19.9M  129M 1325M
  1   1  97   0   0   0|   0  2048B|2250k  149k|   0     0 |  18  2079 |0.06 0.07 0.08| 192M 19.9M  129M 1325M
  0   0  99   1   0   0|   0  2048B|2405B  974B|   0     0 |  18    41 |0.06 0.06 0.08| 192M 19.9M  129M 1325M
  0   0  99   0   0   0|   0  2731B|2779B 1172B|   0     0 |  18    44 |0.05 0.06 0.08| 192M 19.9M  129M 1325M
  1   2  97   0   0   0|   0  2048B| 168k 2221k|   0     0 |  18  2452 |0.05 0.06 0.08| 192M 19.9M  129M 1324M
  2   6  91   0   0   0|   0  2048B| 597k 7989k|   0     0 |  18  7590 |0.04 0.06 0.08| 192M 19.9M  129M 1324M
  2   5  93   0   0   1|   0  2048B| 602k 8029k|   0     0 |  18  8139 |0.04 0.06 0.08| 192M 19.9M  129M 1324M
  3   4  93   0   0   0|   0  2048B| 597k 7963k|   0     0 |  18  7811 |0.03 0.06 0.07| 192M 19.9M  129M 1324M
  2   5  92   0   0   0|   0  2048B| 579k 7736k|   0     0 |  18  7355 |0.03 0.06 0.07| 192M 19.9M  129M 1324M
  2   5  91   0   0   1|   0  4779B| 617k 8241k|   0     0 |  18  8802 |0.03 0.05 0.07| 192M 19.9M  129M 1324M
  3   5  92   0   0   1|   0  2048B| 632k 8434k|   0     0 |  18  8822 |0.03 0.05 0.07| 192M 19.9M  129M 1324M
  2   5  92   1   0   0|   0  3413B| 613k 8178k|   0     0 |  18  8228 |0.02 0.05 0.07| 192M 19.9M  129M 1324M
  2   5  92   0   0   1|   0  2048B| 614k 8191k|   0     0 |  18  8267 |0.02 0.05 0.07| 192M 20.0M  129M 1324M
  2   5  92   0   0   1|   0  2048B| 602k 8052k|   0     0 |  18  8143 |0.02 0.05 0.07| 192M 20.0M  129M 1324M
  2   4  94   0   0   1|   0  2048B| 417k 5554k|   0     0 |  18  5719 |0.10 0.07 0.08| 192M 20.0M  129M 1325M
  0   0  99   0   0   0|   0  2731B|2405B  974B|   0     0 |  18    36 |0.09 0.06 0.08| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    45 |0.07 0.06 0.08| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    40 |0.07 0.06 0.07| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|1203B  487B|   0     0 |  18    32 |0.06 0.06 0.07| 192M 20.0M  129M 1324M
  0   0  99   1   0   0|   0  2048B|2466B 1008B|   0     0 |  18    45 |0.06 0.06 0.07| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    35 |0.05 0.06 0.07| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2731B|2405B  974B|   0     0 |  18    41 |0.04 0.05 0.07| 192M 20.0M  129M 1324M
  0   0  96   3   0   0|   0  2048B|1203B  487B|   0     0 |  18    31 |0.04 0.05 0.07| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    40 |0.04 0.05 0.07| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    43 |0.03 0.05 0.07| 192M 20.0M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    35 |0.03 0.05 0.07| 192M 20.1M  129M 1324M
  0   0  99   0   0   0|   0  2048B|2405B  974B|   0     0 |  18    44 |0.03 0.05 0.07| 192M 20.1M  129M 1324M
