
------------------------------------------------------------------------
#client=1 #workers=8 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   1  92   4   0   0|  79k  383k|   0     0 |   0     0 |  20   288 |0.15 0.05 0.06| 188M 19.3M  131M 1327M
  1   1  97   0   0   0|   0  3413B|1016k   68k|   0     0 |  18   569 |0.14 0.05 0.06| 188M 19.4M  131M 1327M
  1   3  96   0   0   0|   0  2048B|2847k  188k|   0     0 |  18  1043 |0.13 0.05 0.06| 189M 19.4M  131M 1327M
  3   3  94   0   0   0|   0  2048B|2953k  195k|   0     0 |  18  1282 |0.18 0.06 0.06| 188M 19.4M  131M 1327M
  2   2  95   0   0   0|   0  4779B|2966k  196k|   0     0 |  18  1207 |0.17 0.06 0.06| 188M 19.4M  131M 1327M
  2   2  95   0   0   0|   0  2048B|3023k  200k|   0     0 |  18  1248 |0.15 0.06 0.06| 188M 19.4M  131M 1327M
  2   3  94   0   0   1|   0  2731B|3002k  198k|   0     0 |  18  1246 |0.14 0.06 0.06| 189M 19.4M  131M 1327M
  2   3  95   0   0   0|   0  2048B|3045k  202k|   0     0 |  18  1312 |0.13 0.06 0.06| 189M 19.4M  131M 1327M
  3   3  93   0   0   0|   0  2048B|3049k  202k|   0     0 |  18  1361 |0.11 0.06 0.06| 188M 19.4M  131M 1327M
  2   2  95   0   0   0|   0  2048B|3060k  203k|   0     0 |  18  1385 |0.10 0.05 0.06| 189M 19.4M  131M 1327M
  2   2  94   1   0   0|   0  2048B|2948k  195k|   0     0 |  18  1292 |0.09 0.05 0.06| 188M 19.4M  131M 1327M
  2   2  96   0   0   0|   0  2048B|1928k  127k|   0     0 |  18   832 |0.08 0.05 0.06| 188M 19.4M  131M 1327M
  0   0  99   0   0   0|   0  2731B|2642B 1096B|   0     0 |  18    38 |0.08 0.05 0.06| 188M 19.4M  131M 1327M
  1   0  99   0   0   0|   0  2048B|  14k  156k|   0     0 |  18   136 |0.07 0.05 0.06| 188M 19.4M  131M 1327M
  1   3  96   0   0   0|   0  2048B| 216k 2879k|   0     0 |  18  1175 |0.06 0.05 0.06| 189M 19.5M  131M 1327M
  1   2  96   1   0   0|   0  2048B| 224k 2967k|   0     0 |  18  1222 |0.06 0.05 0.06| 188M 19.5M  131M 1327M
  1   2  96   0   0   0|   0  2048B| 227k 3011k|   0     0 |  18  1219 |0.05 0.05 0.06| 189M 19.5M  131M 1327M
  1   2  97   0   0   0|   0  2048B| 216k 2858k|   0     0 |  18  1084 |0.05 0.05 0.06| 189M 19.5M  131M 1327M
  1   3  96   0   0   0|   0  2731B| 220k 2917k|   0     0 |  18  1149 |0.04 0.04 0.05| 189M 19.5M  131M 1327M
  1   2  96   0   0   0|   0  2048B| 216k 2873k|   0     0 |  18  1009 |0.04 0.04 0.05| 189M 19.5M  131M 1327M
  1   2  97   0   0   0|   0  2048B| 214k 2842k|   0     0 |  18  1000 |0.03 0.04 0.05| 189M 19.5M  131M 1327M
  1   2  96   0   0   0|   0  2048B| 221k 2925k|   0     0 |  18  1114 |0.03 0.04 0.05| 189M 19.5M  131M 1327M
  1   2  97   0   0   0|   0  2048B| 217k 2880k|   0     0 |  18  1032 |0.03 0.04 0.05| 189M 19.5M  131M 1327M
  1   3  95   0   0   0|   0  2048B| 212k 2809k|   0     0 |  18  1164 |0.02 0.04 0.05| 189M 19.5M  131M 1327M
  0   0  99   0   0   0|   0  2731B|1379B  575B|   0     0 |  18    32 |0.02 0.04 0.05| 189M 19.5M  131M 1327M

------------------------------------------------------------------------
#client=4 #workers=16 run=1 write-only and afterwards read-only   | dstat params: -alm -N eth0 6
------------------------------------------------------------------------
[7l----total-cpu-usage---- -dsk/total- --net/eth0- ---paging-- ---system-- ---load-avg--- ------memory-usage-----
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw | 1m   5m  15m | used  buff  cach  free
  3   1  92   3   0   0|  74k  357k|   0     0 |   0     0 |  20   334 |0.10 0.05 0.06| 189M 19.5M  131M 1327M
  2   1  97   0   0   0|   0  2731B| 990k   66k|   0     0 |  18   517 |0.09 0.05 0.06| 189M 19.6M  131M 1327M
  3   2  95   0   0   0|   0  2048B|2889k  191k|   0     0 |  18  1251 |0.08 0.05 0.06| 189M 19.6M  131M 1327M
  2   2  94   1   0   0|   0  2048B|2896k  192k|   0     0 |  18  1187 |0.08 0.05 0.05| 189M 19.6M  131M 1326M
  2   2  95   0   0   0|   0  2048B|2849k  189k|   0     0 |  18  1103 |0.07 0.05 0.05| 189M 19.6M  131M 1327M
  2   3  95   1   0   0|   0  8875B|2965k  196k|   0     0 |  18  1233 |0.06 0.05 0.05| 189M 19.6M  131M 1326M
  2   2  95   0   0   0|   0  2048B|2920k  193k|   0     0 |  18  1138 |0.13 0.06 0.06| 189M 19.6M  131M 1326M
  2   3  95   1   0   0|   0  2048B|2859k  189k|   0     0 |  18  1104 |0.12 0.06 0.06| 189M 19.6M  131M 1327M
  2   2  95   1   0   0|   0  2048B|2788k  185k|   0     0 |  18  1038 |0.11 0.06 0.06| 189M 19.6M  131M 1326M
  2   3  94   1   0   0|   0  2048B|2863k  189k|   0     0 |  18  1139 |0.18 0.07 0.06| 189M 19.6M  131M 1327M
  2   2  96   0   0   0|   0   683B|2816k  187k|   0     0 |  18  1021 |0.16 0.07 0.06| 189M 19.6M  131M 1327M
  1   2  95   2   0   0|   0  7509B|1816k  120k|   0     0 |  18   687 |0.21 0.09 0.07| 189M 19.6M  131M 1327M
  0   0  99   0   0   0|   0  2048B|2790B 1177B|   0     0 |  18    44 |0.20 0.09 0.07| 189M 19.6M  131M 1327M
  1   0  99   1   0   0|   0  2048B|2790B 1181B|   0     0 |  18    44 |0.18 0.08 0.07| 189M 19.6M  131M 1326M
  1   2  96   0   0   0|   0  2048B| 183k 2417k|   0     0 |  18  1005 |0.16 0.08 0.07| 189M 19.7M  131M 1326M
